Country Name,Year,Average_Temperature_C,Ignore_This_Column
Senegal,2022,-4.87,garbage_data
Japan,2021,6.72,garbage_data
Canada,2020,15.96,garbage_data
Japan,2019,37.95,garbage_data
Brazil,2018,0.07,garbage_data
Brazil,2017,27.58,garbage_data
Japan,2016,44.17,garbage_data
Canada,2015,13.43,garbage_data
Senegal,2014,13.25,garbage_data
Japan,2013,40.04,garbage_data
Senegal,2012,35.18,garbage_data
Germany,2011,20.76,garbage_data
Japan,2010,39.0,garbage_data
Brazil,2009,3.06,garbage_data
Germany,2008,31.96,garbage_data
Japan,2007,32.2,garbage_data
Canada,2006,6.62,garbage_data
Canada,2005,35.61,garbage_data
Brazil,2004,32.88,garbage_data
Germany,2003,27.88,garbage_data
Canada,2002,44.34,garbage_data
Japan,2001,12.12,garbage_data
Germany,2000,11.05,garbage_data
Canada,1999,13.3,garbage_data
Japan,1998,32.06,garbage_data
Senegal,1997,26.57,garbage_data
Canada,1996,39.15,garbage_data
Germany,1995,11.45,garbage_data
Germany,1994,2.03,garbage_data
Brazil,1993,-3.6,garbage_data
Senegal,1992,21.4,garbage_data
Senegal,1991,38.12,garbage_data
Brazil,1990,19.37,garbage_data
Senegal,1989,22.27,garbage_data
Japan,1988,8.86,garbage_data
Senegal,1987,35.09,garbage_data
Canada,1986,2.16,garbage_data
Senegal,1985,30.01,garbage_data
Canada,1984,31.8,garbage_data
Brazil,1983,37.02,garbage_data
Germany,1982,19.42,garbage_data
Japan,1981,30.49,garbage_data
Germany,1980,2.88,garbage_data
Germany,1979,-2.66,garbage_data
Senegal,1978,34.78,garbage_data
Canada,1977,18.7,garbage_data
Japan,2026,3.19,garbage_data
Japan,2025,6.14,garbage_data
Japan,2024,18.65,garbage_data
Germany,2023,27.31,garbage_data
Japan,2022,18.44,garbage_data
Senegal,2021,-6.58,garbage_data
Brazil,2020,35.79,garbage_data
Canada,2019,43.43,garbage_data
Japan,2018,18.89,garbage_data
Brazil,2017,18.27,garbage_data
Germany,2016,1.73,garbage_data
Japan,2015,-6.05,garbage_data
Canada,2014,28.38,garbage_data
Brazil,2013,-1.83,garbage_data
Canada,2012,-4.84,garbage_data
Senegal,2011,37.67,garbage_data
Canada,2010,15.27,garbage_data
Japan,2009,18.61,garbage_data
Japan,2008,3.48,garbage_data
Senegal,2007,6.62,garbage_data
Senegal,2006,21.92,garbage_data
Senegal,2005,5.88,garbage_data
Canada,2004,5.01,garbage_data
Brazil,2003,28.93,garbage_data
Senegal,2002,3.98,garbage_data
Brazil,2001,2.15,garbage_data
Japan,2000,-3.1,garbage_data
Canada,1999,-9.29,garbage_data
Germany,1998,-7.7,garbage_data
Germany,1997,33.05,garbage_data
Canada,1996,42.18,garbage_data
Japan,1995,42.72,garbage_data
Japan,1994,19.61,garbage_data
Brazil,1993,3.89,garbage_data
Canada,1992,27.88,garbage_data
Senegal,1991,35.78,garbage_data
Senegal,1990,13.16,garbage_data
Japan,1989,28.21,garbage_data
Brazil,1988,34.11,garbage_data
Senegal,1987,16.71,garbage_data
Brazil,1986,-0.51,garbage_data
Senegal,1985,-5.77,garbage_data
Japan,1984,-2.15,garbage_data
Japan,1983,-5.2,garbage_data
Canada,1982,28.71,garbage_data
Canada,1981,14.86,garbage_data
Japan,1980,14.95,garbage_data
Senegal,1979,12.33,garbage_data
Japan,1978,-3.83,garbage_data
Senegal,1977,42.6,garbage_data
Germany,2026,2.99,garbage_data
Germany,2025,-7.72,garbage_data
Japan,2024,30.8,garbage_data
Senegal,2023,2.7,garbage_data
Japan,2022,16.82,garbage_data
Canada,2021,1.32,garbage_data
Germany,2020,-5.29,garbage_data
Senegal,2019,29.31,garbage_data
Canada,2018,-4.01,garbage_data
Senegal,2017,5.23,garbage_data
Germany,2016,4.99,garbage_data
Germany,2015,37.43,garbage_data
Japan,2014,36.16,garbage_data
Senegal,2013,43.48,garbage_data
Senegal,2012,32.58,garbage_data
Canada,2011,32.56,garbage_data
Canada,2010,39.23,garbage_data
Japan,2009,17.65,garbage_data
Germany,2008,39.27,garbage_data
Brazil,2007,-5.35,garbage_data
Senegal,2006,26.64,garbage_data
Germany,2005,8.28,garbage_data
Senegal,2004,13.92,garbage_data
Canada,2003,25.06,garbage_data
Brazil,2002,-8.5,garbage_data
Brazil,2001,25.59,garbage_data
Canada,2000,3.69,garbage_data
Brazil,1999,30.79,garbage_data
Canada,1998,38.84,garbage_data
Japan,1997,26.08,garbage_data
Japan,1996,15.77,garbage_data
Senegal,1995,12.94,garbage_data
Germany,1994,-9.25,garbage_data
Senegal,1993,8.04,garbage_data
Brazil,1992,0.75,garbage_data
Senegal,1991,43.24,garbage_data
Canada,1990,-3.44,garbage_data
Brazil,1989,3.84,garbage_data
Brazil,1988,2.34,garbage_data
Senegal,1987,24.33,garbage_data
Brazil,1986,24.88,garbage_data
Senegal,1985,17.13,garbage_data
Senegal,1984,-9.49,garbage_data
Canada,1983,23.66,garbage_data
Brazil,1982,41.67,garbage_data
Senegal,1981,5.38,garbage_data
Germany,1980,10.81,garbage_data
Japan,1979,-3.92,garbage_data
Japan,1978,20.14,garbage_data
Germany,1977,29.66,garbage_data
Germany,2026,31.99,garbage_data
Brazil,2025,15.07,garbage_data
Brazil,2024,22.3,garbage_data
Japan,2023,16.82,garbage_data
Germany,2022,6.09,garbage_data
Senegal,2021,21.58,garbage_data
Brazil,2020,34.0,garbage_data
Germany,2019,9.49,garbage_data
Germany,2018,17.22,garbage_data
Germany,2017,15.89,garbage_data
Germany,2016,29.89,garbage_data
Japan,2015,24.75,garbage_data
Senegal,2014,25.78,garbage_data
Canada,2013,12.25,garbage_data
Brazil,2012,5.08,garbage_data
Brazil,2011,-7.76,garbage_data
Canada,2010,-7.32,garbage_data
Canada,2009,21.36,garbage_data
Japan,2008,0.79,garbage_data
Germany,2007,35.9,garbage_data
Canada,2006,29.77,garbage_data
Germany,2005,12.94,garbage_data
Senegal,2004,-9.86,garbage_data
Brazil,2003,40.74,garbage_data
Canada,2002,22.38,garbage_data
Brazil,2001,23.08,garbage_data
Japan,2000,39.37,garbage_data
Japan,1999,30.65,garbage_data
Canada,1998,-1.54,garbage_data
Japan,1997,-1.77,garbage_data
Germany,1996,-9.84,garbage_data
Japan,1995,38.34,garbage_data
Senegal,1994,22.81,garbage_data
Germany,1993,22.17,garbage_data
Canada,1992,22.36,garbage_data
Senegal,1991,21.95,garbage_data
Senegal,1990,33.51,garbage_data
Japan,1989,12.89,garbage_data
Canada,1988,2.59,garbage_data
Canada,1987,35.87,garbage_data
Senegal,1986,10.73,garbage_data
Senegal,1985,4.73,garbage_data
Japan,1984,12.05,garbage_data
Canada,1983,-2.85,garbage_data
Senegal,1982,36.44,garbage_data
Senegal,1981,25.46,garbage_data
Senegal,1980,24.67,garbage_data
Japan,1979,32.98,garbage_data
Brazil,1978,20.68,garbage_data
Japan,1977,33.7,garbage_data
Brazil,2026,13.04,garbage_data
Senegal,2025,16.06,garbage_data
Germany,2024,37.92,garbage_data
Canada,2023,-5.49,garbage_data
Canada,2022,24.34,garbage_data
Japan,2021,4.57,garbage_data
Senegal,2020,35.19,garbage_data
Brazil,2019,30.38,garbage_data
Senegal,2018,14.01,garbage_data
Japan,2017,-2.85,garbage_data
Senegal,2016,2.75,garbage_data
Canada,2015,9.95,garbage_data
Brazil,2014,44.09,garbage_data
Brazil,2013,-4.42,garbage_data
Japan,2012,24.16,garbage_data
Senegal,2011,27.11,garbage_data
Canada,2010,33.2,garbage_data
Japan,2009,43.55,garbage_data
Canada,2008,25.48,garbage_data
Germany,2007,-2.18,garbage_data
Senegal,2006,43.07,garbage_data
Brazil,2005,4.45,garbage_data
Brazil,2004,16.3,garbage_data
Brazil,2003,-4.28,garbage_data
Canada,2002,31.39,garbage_data
Senegal,2001,38.67,garbage_data
Canada,2000,18.05,garbage_data
Germany,1999,32.33,garbage_data
Canada,1998,-2.4,garbage_data
Senegal,1997,-7.62,garbage_data
Germany,1996,17.49,garbage_data
Germany,1995,41.31,garbage_data
Senegal,1994,40.53,garbage_data
Senegal,1993,25.49,garbage_data
Japan,1992,34.52,garbage_data
Brazil,1991,8.6,garbage_data
Brazil,1990,41.13,garbage_data
Senegal,1989,-7.3,garbage_data
Japan,1988,32.88,garbage_data
Brazil,1987,25.45,garbage_data
Germany,1986,-9.6,garbage_data
Brazil,1985,9.78,garbage_data
Senegal,1984,-9.65,garbage_data
Japan,1983,42.19,garbage_data
Senegal,1982,11.24,garbage_data
Brazil,1981,17.92,garbage_data
Canada,1980,29.91,garbage_data
Senegal,1979,4.16,garbage_data
Canada,1978,-9.85,garbage_data
Japan,1977,8.98,garbage_data
Senegal,2026,1.47,garbage_data
Japan,2025,0.89,garbage_data
Canada,2024,-5.9,garbage_data
Germany,2023,26.37,garbage_data
Senegal,2022,41.74,garbage_data
Brazil,2021,-2.49,garbage_data
Canada,2020,21.5,garbage_data
Germany,2019,12.52,garbage_data
Germany,2018,6.12,garbage_data
Senegal,2017,4.89,garbage_data
Germany,2016,11.42,garbage_data
Japan,2015,23.85,garbage_data
Japan,2014,40.39,garbage_data
Brazil,2013,-3.53,garbage_data
Canada,2012,-8.97,garbage_data
Germany,2011,-2.79,garbage_data
Canada,2010,42.96,garbage_data
Canada,2009,-6.01,garbage_data
Germany,2008,13.04,garbage_data
Senegal,2007,18.65,garbage_data
Brazil,2006,-7.23,garbage_data
Canada,2005,15.47,garbage_data
Germany,2004,-0.14,garbage_data
Germany,2003,4.32,garbage_data
Brazil,2002,6.65,garbage_data
Brazil,2001,12.03,garbage_data
Japan,2000,-4.77,garbage_data
Canada,1999,10.77,garbage_data
Canada,1998,23.66,garbage_data
Brazil,1997,5.81,garbage_data
Senegal,1996,37.59,garbage_data
Japan,1995,29.21,garbage_data
Japan,1994,27.2,garbage_data
Senegal,1993,-3.45,garbage_data
Canada,1992,32.74,garbage_data
Brazil,1991,-7.52,garbage_data
Canada,1990,29.21,garbage_data
Senegal,1989,22.03,garbage_data
Brazil,1988,23.59,garbage_data
Senegal,1987,-4.77,garbage_data
Germany,1986,22.97,garbage_data
Brazil,1985,-1.0,garbage_data
Canada,1984,38.12,garbage_data
Japan,1983,8.32,garbage_data
Brazil,1982,30.88,garbage_data
Brazil,1981,1.4,garbage_data
Japan,1980,10.03,garbage_data
Germany,1979,7.02,garbage_data
Japan,1978,5.23,garbage_data
Brazil,1977,2.86,garbage_data
Canada,2026,14.65,garbage_data
Senegal,2025,0.58,garbage_data
Germany,2024,42.39,garbage_data
Japan,2023,19.38,garbage_data
Brazil,2022,41.54,garbage_data
Canada,2021,22.52,garbage_data
Canada,2020,11.07,garbage_data
Germany,2019,17.07,garbage_data
Brazil,2018,-1.65,garbage_data
Japan,2017,6.34,garbage_data
Japan,2016,15.46,garbage_data
Canada,2015,29.11,garbage_data
Japan,2014,-8.98,garbage_data
Germany,2013,27.03,garbage_data
Brazil,2012,1.73,garbage_data
Brazil,2011,36.02,garbage_data
Senegal,2010,42.13,garbage_data
Brazil,2009,21.29,garbage_data
Japan,2008,-4.48,garbage_data
Germany,2007,-8.89,garbage_data
Brazil,2006,34.49,garbage_data
Brazil,2005,5.27,garbage_data
Japan,2004,-3.65,garbage_data
Brazil,2003,24.56,garbage_data
Germany,2002,-6.95,garbage_data
Canada,2001,2.48,garbage_data
Germany,2000,-2.25,garbage_data
Canada,1999,19.17,garbage_data
Canada,1998,-2.6,garbage_data
Japan,1997,24.95,garbage_data
Germany,1996,23.56,garbage_data
Japan,1995,17.25,garbage_data
Senegal,1994,26.74,garbage_data
Senegal,1993,6.94,garbage_data
Brazil,1992,16.69,garbage_data
Germany,1991,38.93,garbage_data
Senegal,1990,38.08,garbage_data
Japan,1989,36.45,garbage_data
Brazil,1988,26.02,garbage_data
Canada,1987,26.15,garbage_data
Canada,1986,-3.88,garbage_data
Germany,1985,38.92,garbage_data
Senegal,1984,35.47,garbage_data
Germany,1983,18.71,garbage_data
Senegal,1982,37.46,garbage_data
Senegal,1981,-1.08,garbage_data
Brazil,1980,8.58,garbage_data
Canada,1979,26.99,garbage_data
Canada,1978,35.8,garbage_data
Senegal,1977,23.52,garbage_data
Germany,2026,20.26,garbage_data
Japan,2025,-8.91,garbage_data
Brazil,2024,-3.01,garbage_data
Brazil,2023,27.76,garbage_data
Senegal,2022,15.35,garbage_data
Brazil,2021,31.31,garbage_data
Canada,2020,12.32,garbage_data
Japan,2019,-6.48,garbage_data
Canada,2018,42.96,garbage_data
Germany,2017,33.67,garbage_data
Germany,2016,9.86,garbage_data
Brazil,2015,8.8,garbage_data
Germany,2014,34.52,garbage_data
Senegal,2013,4.45,garbage_data
Japan,2012,5.11,garbage_data
Brazil,2011,17.76,garbage_data
Brazil,2010,15.49,garbage_data
Germany,2009,3.32,garbage_data
Japan,2008,14.55,garbage_data
Brazil,2007,23.35,garbage_data
Germany,2006,41.19,garbage_data
Senegal,2005,27.94,garbage_data
Brazil,2004,37.86,garbage_data
Senegal,2003,-4.68,garbage_data
Canada,2002,42.88,garbage_data
Germany,2001,19.41,garbage_data
Japan,2000,-3.43,garbage_data
Senegal,1999,-5.86,garbage_data
Japan,1998,27.27,garbage_data
Japan,1997,17.53,garbage_data
Brazil,1996,9.71,garbage_data
Brazil,1995,0.85,garbage_data
Canada,1994,5.36,garbage_data
Senegal,1993,9.62,garbage_data
Senegal,1992,34.62,garbage_data
Senegal,1991,-1.47,garbage_data
Germany,1990,23.56,garbage_data
Brazil,1989,16.43,garbage_data
Canada,1988,30.02,garbage_data
Canada,1987,2.81,garbage_data
Brazil,1986,41.88,garbage_data
Canada,1985,-2.44,garbage_data
Brazil,1984,28.05,garbage_data
Japan,1983,2.75,garbage_data
Canada,1982,7.24,garbage_data
Canada,1981,39.2,garbage_data
Japan,1980,24.14,garbage_data
Germany,1979,44.05,garbage_data
Brazil,1978,22.85,garbage_data
Canada,1977,35.53,garbage_data
Canada,2026,-9.35,garbage_data
Brazil,2025,17.31,garbage_data
Canada,2024,36.88,garbage_data
Canada,2023,41.26,garbage_data
Brazil,2022,32.28,garbage_data
Germany,2021,22.12,garbage_data
Germany,2020,-9.41,garbage_data
Senegal,2019,13.93,garbage_data
Senegal,2018,41.8,garbage_data
Japan,2017,29.71,garbage_data
Japan,2016,3.07,garbage_data
Japan,2015,36.22,garbage_data
Senegal,2014,2.47,garbage_data
Canada,2013,-1.1,garbage_data
Brazil,2012,30.12,garbage_data
Senegal,2011,-0.95,garbage_data
Canada,2010,4.5,garbage_data
Senegal,2009,28.71,garbage_data
Senegal,2008,10.95,garbage_data
Japan,2007,19.51,garbage_data
Brazil,2006,40.76,garbage_data
Canada,2005,44.77,garbage_data
Canada,2004,28.48,garbage_data
Japan,2003,-8.23,garbage_data
Canada,2002,37.79,garbage_data
Brazil,2001,31.69,garbage_data
Germany,2000,-6.48,garbage_data
Japan,1999,-7.55,garbage_data
Canada,1998,27.71,garbage_data
Germany,1997,32.41,garbage_data
Senegal,1996,39.46,garbage_data
Brazil,1995,20.54,garbage_data
Canada,1994,7.84,garbage_data
Japan,1993,-9.45,garbage_data
Brazil,1992,-7.67,garbage_data
Japan,1991,33.46,garbage_data
Germany,1990,23.62,garbage_data
Senegal,1989,14.12,garbage_data
Brazil,1988,9.7,garbage_data
Canada,1987,27.64,garbage_data
Japan,1986,-5.29,garbage_data
Canada,1985,25.52,garbage_data
Japan,1984,29.15,garbage_data
Brazil,1983,36.45,garbage_data
Japan,1982,42.01,garbage_data
Japan,1981,13.57,garbage_data
Canada,1980,-7.82,garbage_data
Japan,1979,9.91,garbage_data
Brazil,1978,40.76,garbage_data
Germany,1977,-5.17,garbage_data
Germany,2026,26.56,garbage_data
Germany,2025,19.32,garbage_data
Canada,2024,-8.43,garbage_data
Senegal,2023,39.8,garbage_data
Japan,2022,19.69,garbage_data
Japan,2021,9.71,garbage_data
Japan,2020,31.6,garbage_data
Senegal,2019,39.71,garbage_data
Brazil,2018,-4.83,garbage_data
Brazil,2017,41.66,garbage_data
Canada,2016,0.11,garbage_data
Senegal,2015,26.77,garbage_data
Brazil,2014,23.84,garbage_data
Germany,2013,19.93,garbage_data
Brazil,2012,18.63,garbage_data
Brazil,2011,-7.08,garbage_data
Germany,2010,24.38,garbage_data
Canada,2009,37.34,garbage_data
Japan,2008,12.49,garbage_data
Canada,2007,18.82,garbage_data
Senegal,2006,1.24,garbage_data
Senegal,2005,32.73,garbage_data
Brazil,2004,11.49,garbage_data
Senegal,2003,41.69,garbage_data
Canada,2002,6.28,garbage_data
Germany,2001,-5.96,garbage_data
Japan,2000,23.13,garbage_data
Brazil,1999,-9.34,garbage_data
Senegal,1998,43.88,garbage_data
Brazil,1997,42.26,garbage_data
Senegal,1996,-5.7,garbage_data
Canada,1995,32.4,garbage_data
Brazil,1994,33.78,garbage_data
Canada,1993,24.92,garbage_data
Brazil,1992,12.0,garbage_data
Germany,1991,-8.01,garbage_data
Canada,1990,23.93,garbage_data
Japan,1989,32.17,garbage_data
Canada,1988,23.51,garbage_data
Senegal,1987,42.92,garbage_data
Germany,1986,23.77,garbage_data
Germany,1985,20.88,garbage_data
Senegal,1984,17.71,garbage_data
Brazil,1983,38.04,garbage_data
Senegal,1982,13.24,garbage_data
Japan,1981,41.77,garbage_data
Senegal,1980,-6.38,garbage_data
Senegal,1979,-2.44,garbage_data
Germany,1978,-1.17,garbage_data
Canada,1977,41.32,garbage_data
Japan,2026,18.26,garbage_data
Germany,2025,24.27,garbage_data
Germany,2024,31.54,garbage_data
Canada,2023,18.17,garbage_data
Germany,2022,17.16,garbage_data
Japan,2021,32.86,garbage_data
Brazil,2020,2.26,garbage_data
Germany,2019,4.62,garbage_data
Germany,2018,25.77,garbage_data
Senegal,2017,15.62,garbage_data
Brazil,2016,-3.1,garbage_data
Germany,2015,28.17,garbage_data
Brazil,2014,33.86,garbage_data
Germany,2013,44.11,garbage_data
Canada,2012,10.43,garbage_data
Germany,2011,5.25,garbage_data
Brazil,2010,25.52,garbage_data
Canada,2009,2.22,garbage_data
Brazil,2008,7.16,garbage_data
Japan,2007,20.38,garbage_data
Brazil,2006,-7.91,garbage_data
Brazil,2005,5.32,garbage_data
Brazil,2004,23.6,garbage_data
Japan,2003,30.06,garbage_data
Japan,2002,-9.89,garbage_data
Japan,2001,1.06,garbage_data
Brazil,2000,34.98,garbage_data
Japan,1999,-4.15,garbage_data
Senegal,1998,-4.64,garbage_data
Brazil,1997,24.39,garbage_data
Brazil,1996,-5.91,garbage_data
Japan,1995,12.53,garbage_data
Japan,1994,21.21,garbage_data
Canada,1993,-4.09,garbage_data
Brazil,1992,15.4,garbage_data
Senegal,1991,-8.4,garbage_data
Japan,1990,17.8,garbage_data
Senegal,1989,-6.71,garbage_data
Germany,1988,21.64,garbage_data
Canada,1987,39.66,garbage_data
Senegal,1986,20.96,garbage_data
Japan,1985,35.2,garbage_data
Japan,1984,26.15,garbage_data
Senegal,1983,32.27,garbage_data
Senegal,1982,30.15,garbage_data
Canada,1981,41.85,garbage_data
Canada,1980,18.2,garbage_data
Senegal,1979,27.78,garbage_data
Japan,1978,3.0,garbage_data
Germany,1977,-8.13,garbage_data
Brazil,2026,9.19,garbage_data
Canada,2025,7.25,garbage_data
Senegal,2024,39.36,garbage_data
Senegal,2023,44.06,garbage_data
Germany,2022,41.24,garbage_data
Japan,2021,36.48,garbage_data
Brazil,2020,27.27,garbage_data
Germany,2019,37.48,garbage_data
Canada,2018,34.39,garbage_data
Canada,2017,30.53,garbage_data
Brazil,2016,2.8,garbage_data
Brazil,2015,14.59,garbage_data
Japan,2014,3.37,garbage_data
Japan,2013,32.82,garbage_data
Canada,2012,42.82,garbage_data
Japan,2011,14.97,garbage_data
Germany,2010,-5.49,garbage_data
Senegal,2009,4.2,garbage_data
Canada,2008,41.27,garbage_data
Brazil,2007,7.44,garbage_data
Brazil,2006,12.27,garbage_data
Brazil,2005,35.06,garbage_data
Senegal,2004,10.04,garbage_data
Senegal,2003,20.47,garbage_data
Japan,2002,8.13,garbage_data
Germany,2001,26.86,garbage_data
Senegal,2000,21.05,garbage_data
Japan,1999,33.49,garbage_data
Canada,1998,33.31,garbage_data
Japan,1997,0.49,garbage_data
Canada,1996,35.71,garbage_data
Canada,1995,-0.68,garbage_data
Brazil,1994,23.99,garbage_data
Japan,1993,35.35,garbage_data
Germany,1992,9.98,garbage_data
Brazil,1991,-1.58,garbage_data
Germany,1990,32.07,garbage_data
Germany,1989,23.84,garbage_data
Germany,1988,22.65,garbage_data
Brazil,1987,7.02,garbage_data
Canada,1986,25.05,garbage_data
Canada,1985,33.35,garbage_data
Germany,1984,29.19,garbage_data
Germany,1983,44.11,garbage_data
Canada,1982,26.9,garbage_data
Germany,1981,35.96,garbage_data
Canada,1980,-2.32,garbage_data
Germany,1979,17.47,garbage_data
Brazil,1978,2.37,garbage_data
Senegal,1977,-2.1,garbage_data
Germany,2026,9.32,garbage_data
Germany,2025,37.02,garbage_data
Senegal,2024,41.98,garbage_data
Brazil,2023,40.15,garbage_data
Brazil,2022,27.57,garbage_data
Germany,2021,28.94,garbage_data
Germany,2020,31.41,garbage_data
Canada,2019,5.36,garbage_data
Canada,2018,-3.23,garbage_data
Senegal,2017,17.35,garbage_data
Canada,2016,18.38,garbage_data
Brazil,2015,29.88,garbage_data
Brazil,2014,2.32,garbage_data
Canada,2013,33.5,garbage_data
Germany,2012,26.2,garbage_data
Brazil,2011,-1.39,garbage_data
Japan,2010,14.09,garbage_data
Germany,2009,14.17,garbage_data
Brazil,2008,15.08,garbage_data
Brazil,2007,41.58,garbage_data
Japan,2006,8.15,garbage_data
Germany,2005,30.59,garbage_data
Japan,2004,-0.66,garbage_data
Canada,2003,20.02,garbage_data
Germany,2002,10.91,garbage_data
Japan,2001,16.03,garbage_data
Canada,2000,19.93,garbage_data
Germany,1999,29.32,garbage_data
Senegal,1998,6.63,garbage_data
Germany,1997,-4.42,garbage_data
Brazil,1996,1.66,garbage_data
Japan,1995,-9.26,garbage_data
Senegal,1994,31.66,garbage_data
Senegal,1993,-0.01,garbage_data
Senegal,1992,28.99,garbage_data
Japan,1991,-4.5,garbage_data
Brazil,1990,18.97,garbage_data
Brazil,1989,9.94,garbage_data
Brazil,1988,19.45,garbage_data
Germany,1987,22.89,garbage_data
Senegal,1986,35.42,garbage_data
Canada,1985,-2.82,garbage_data
